9.48,62
7.92,37
5.8,14
5.3,10
3.26,1
1.93,1
3.55,1
4.1,3
5.5,11
6.9,25
7.27,29
6.5,20
6.3,18
6.56,21
7.07,27
8.13,40
8.07,40
8.02,39
7.96,38
7.91,37
8.06,39
8.59,47
8.9,52
9.22,58
9.57,64
9.84,69
10.11,72
10.24,72
10.3,72
10,72
9.74,67
9.18,57
8.94,53
8.38,44
8.29,43
8.34,44
8.57,47
8.85,52
8.82,51
8,39
7.63,34
7.05,26
6.66,22
6.44,20
6.37,19
6.16,17
6.2,17
6.3,18
6.36,19
6.69,22
7.07,27
7.13,27
7.1,27
7.34,30
7.5,32
7.68,34
7.95,38
7.62,33
7.42,31
7.07,27
7.08,27
7.16,28
7.51,32
7.34,30
7.16,28
6.72,23
6.51,20
5.94,15
5.01,8
3.75,2
3,0
2.25,0
1.92,0
1.27,0
1.14,0
1.84,0
2.02,0
2.76,0
3.05,0
3.62,1
4.3,4
4.34,4
4.83,7
5.23,9
5.95,15
5.68,13
5.46,11
5.77,13
5.77,13
5.39,10
4.7,6
4.38,4
4.21,4
4.88,7
4.61,5
4.49,5
4.3,4
4.14,3
4.08,3
4.13,3
4.25,4
4.48,5
4.8,7
5.08,8
5.47,11
5.66,13
5.88,14
5.97,15
5.88,14
6.01,16
6.58,21
7.22,28
7.3,29
7.1,27
7.82,36
7.62,33
7.5,32
7.79,36
7.41,31
7.69,34
8.1,40
8.8,51
8.85,52
9.67,66
10.1,72
9.98,72
9.94,71
10.29,72
10.29,72
10.6,72
10.74,72
10.91,72
10.08,72
10.43,72
11.35,72
12.21,72
12.64,72
11.73,72
11.27,72
11.05,72
11.34,72
11.9,72
11.66,72
10.91,72
10.09,72
9.18,57
10.02,72
11.99,72
12.69,72
13.18,72
14.63,72
14.69,72
15.1,72
12.47,72
11.92,72
11.27,72
10.32,72
10.22,72
8.71,49
8.84,51
8.35,44
7.68,34
7.02,26
6.21,17
6.24,18
5.95,15
5.09,8
4.1,3
3.5,1
3.45,1
3.35,1
2.61,0
2.33,0
2.1,0
2.1,0
2.44,0
2.42,0
3.04,0
4.12,3
5.4,11
5.45,11
6.11,16
7,26
8.9,52
9.91,70
10.43,72
10.55,72
10.46,72
10.33,72
9.55,64
8.98,54
8.86,52
8.59,47
8.06,39
7.24,29
7.22,28
6.88,24
6.59,21
6.24,18
5.58,12
5.1,8
4.84,7
4.83,7
5.37,10
5.08,8
5.14,9
5.47,11
6.36,19
7.27,29
7.68,34
7.82,36
8.46,45
8.65,48
8.86,52
9.02,54
9.3,59
9.6,64
10.16,72
10.6,72
10.68,72
11.1,72
11.4,72
11.89,72
12.52,72
13.15,72
13.31,72
12.01,72
12.22,72
13.18,72
14.18,72
13.3,72
11.28,72
11.77,72
12.12,72
11.32,72
9.83,69
9.8,68
11.32,72
11.13,72
11.58,72
11,72
11.24,72
10.62,72
11.51,72
11.12,72
10.4,72
10.1,72
9.5,63
9.76,67
9.47,62
9.14,56
8.54,47
8.21,42
7.6,33
7.34,30
8.02,39
7.81,36
6.52,21
5.54,12
6.28,18
7.11,27
6.45,20
6.68,22
6.76,23
6.98,26
7.36,30
7.44,31
7.07,27
6.18,17
5.66,13
5.14,9
5.08,8
5.2,9
4.79,7
5.1,8
5.32,10
5.8,14
5.55,12
5.2,9
4.74,6
4.77,6
4.79,7
4.74,6
4.33,4
4.15,3
4.64,6
4.72,6
5.5,11
6.6,21
7.51,32
8.22,42
7.42,31
6.9,25
7.78,36
7.68,34
8.14,41
8.01,39
8.1,40
8.41,45
7.98,38
7.83,36
7.6,33
7.65,34
7.13,27
8.04,39
8.26,42
6.38,19
7.13,27
7.6,33
7.69,34
7.37,30
6.87,24
6.33,19
5.64,12
4.83,7
3.81,2
3.74,2
3.97,3
4.64,6
5.66,13
7.03,26
7.55,33
7.65,34
7.66,34
7.12,27
6.59,21
5.4,11
3.1,0
2.39,0
1.94,0
2.14,0
3.21,0
4.81,7
5.19,9
3.93,2
2.8,0
2.77,0
3.27,1
3.27,1
1.89,1
1.03,1
1.33,1
1.98,1
2.28,0
1.88,0
3,0
3.71,2
4.42,5
4.83,7
6.53,21
6.67,22
5.19,9
4.03,3
2.75,0
1.53,0
0.92,0
1.49,0
2.63,0
3.14,0
3.22,0
3.56,1
3.89,2
3.91,2
3.33,1
3.47,1
3.68,2
3.68,2
3.42,1
3.47,1
2.42,0
1.93,0
1.51,0
1,0
0.14,0
0.61,0
1.36,0
1.92,0
3.04,0
3.81,2
4.59,5
5.76,13
5.86,14
5.91,15
5.92,15
6.08,16
6.51,20
6.76,23
7.44,31
7.52,32
7.93,38
8.34,44
8.05,39
7.2,28
6.13,17
5.28,10
4.8,7
4.49,5
3.94,2
4.22,4
3.94,2
3.97,3
4.13,3
4.74,6
5.1,8
5.77,13
5.98,15
5.74,13
4.9,7
4.7,6
4.6,5
4.85,7
5.15,9
5.49,11
5.77,13
5.67,13
5.71,13
5.6,12
6.07,16
6.45,20
7.33,30
8.01,39
8.37,44
8.54,47
8.97,54
8.99,54
8.81,51
8.95,53
8.64,48
8.51,46
9.52,63
9.11,56
9.08,55
8.34,44
7.53,32
6.8,24
6.8,24
6.93,25
7.22,28
7.59,33
7.96,38
8.13,40
8.2,41
8.71,49
8.74,50
8.81,51
9.07,55
9.16,57
9.49,63
8.8,51
7.79,36
7.3,29
6.56,21
5.94,15
5.9,15
5.44,11
5.14,9
4.81,7
4.39,4
4,3
4.12,3
4.08,3
4.19,3
4.08,3
3.85,2
3.96,3
3.64,1
3.91,2
3.83,2
3.91,2
4.36,4
4.65,6
4.69,6
4.55,5
4.31,4
4,3
3.8,2
3.8,2
4.1,3
4.1,3
4.02,3
4.03,3
4.22,4
4.61,5
4.65,6
4.88,7
5.15,9
5.74,13
6.34,19
6.95,25
8.34,44
8.91,53
9.08,55
8.69,49
7.97,38
7.69,34
7.67,34
7.91,37
7.88,37
7.91,37
7.83,36
7.28,29
6.66,22
6.21,17
5.9,15
5.42,11
5.38,10
5.43,11
5.38,10
5.54,12
5.79,14
5.96,15
6.13,17
6.35,19
6,15
6.59,21
6.58,21
6.48,20
6.44,20
7.34,30
8.01,39
8.26,42
7.82,36
7.2,28
6.74,23
6.69,22
7.31,29
8.58,47
9.35,60
10.21,72
11.14,72
11.16,72
10.72,72
9.97,71
9.17,57
8.9,52
8.29,43
7.6,33
6.02,16
5.59,12
5.12,9
5.2,9
5.32,10
4.66,6
4.52,5
4.68,6
4.14,3
3.77,2
3.91,2
3.58,1
3.11,0
2.55,0
1.72,0
1.3,0
1.86,0
2.48,0
2.66,0
3.05,0
3.54,1
3.8,2
4.11,3
4.35,4
4.88,7
5.39,10
5.6,12
6.15,17
6.04,16
5.83,14
5.08,8
4.67,6
4.3,4
4.05,3
3.95,2
5.1,8
7,26
7.1,27
6.6,21
7.2,28
7.57,33
8.16,41
8.95,53
8.81,51
8.92,53
9.05,55
9.23,58
9.22,58
9.45,62
9.69,66
9.29,59
9.67,66
9.72,67
9.8,68
10.3,72
10.1,72
10.61,72
11.22,72
11.71,72
11.71,72
11.3,72
11.9,72
12.2,72
12.7,72
12.9,72
12.8,72
12.9,72
12.43,72
11.97,72
12.27,72
12.54,72
11.96,72
11.49,72
11.97,72
12.9,72
12.42,72
12,72
12.01,72
11.62,72
11.91,72
11.8,72
11.61,72
11.16,72
10.41,72
9.54,63
9.2,57
8.26,42
7.83,36
7.5,32
6.8,24
6,15
5.3,10
4.67,6
5.07,8
5.6,12
5.92,15
6.24,18
6.8,24
7.62,33
8.38,44
9.37,60
9.9,70
10.36,72
10.18,72
9.54,63
9.11,56
8.71,49
8.61,48
8.3,43
7.9,37
7.8,36
7.51,32
7.2,28
6.9,25
7.4,31
7.41,31
7.42,31
7.22,28
6.94,25
6.89,25
6.33,19
6.12,17
5.93,15
6.2,17
6.34,19
6.52,21
6.11,16
5.58,12
5.7,13
5.22,9
5.53,12
5.95,15
5.82,14
5.12,9
4.46,5
3.59,1
2.89,0
2.14,0
1.33,0
0.82,0
0.72,0
1,0
1.32,0
1.66,0
2.64,0
3.06,0
3.54,1
3.83,2
3.88,2
3.82,2
2.82,0
2.18,0
2.64,0
3.32,1
4.03,3
5.06,8
5.52,11
5.97,15
6.16,17
6.72,23
7.22,28
7.8,36
8.13,40
8.41,45
8.85,52
8.49,46
7.6,33
7.02,26
6.54,21
6.57,21
6.45,20
6.38,19
6.41,19
6.71,23
6.61,21
6.56,21
6.8,24
7.21,28
7.32,30
7.34,30
7.44,31
7.53,32
7.62,33
7.2,28
7.41,31
7.28,29
7.28,29
7.59,33
7.89,37
7.68,34
7.6,33
7.83,36
8.17,41
8.53,46
9.48,62
9.51,63
9.61,65
10,72
10.78,72
11.33,72
11.11,72
10.57,72
10.55,72
10.92,72
10.29,72
9.09,56
8.5,46
8.13,40
7.91,37
8.03,39
8.86,52
8.97,54
8.35,44
7.29,29
6.44,20
7.04,26
7.59,33
8.87,52
10.61,72
11.4,72
12.27,72
13.05,72
11.92,72
11.5,72
11.87,72
12.21,72
12.26,72
11.56,72
9.82,69
7.92,37
6.1,16
4.58,5
3.05,0
2.12,0
0.91,0
0.81,0
2.46,0
3.74,2
5.1,8
6.09,16
7.48,32
7.78,36
8.32,43
8.72,49
8.85,52
8.97,54
9.14,56
9.18,57
9.18,57
9.33,60
9.17,57
9.3,59
10.42,72
10.42,72
10.29,72
10.11,72
10.14,72
9.54,63
9.19,57
9.81,68
9.17,57
9.39,61
8.6,48
7.76,35
6.14,17
5.41,11
4.92,7
5.96,15
5.68,13
5.86,14
6.05,16
4.94,7
5.33,10
5.31,10
4.84,7
4,3
4.33,4
4.05,3
4.57,5
4.65,6
4.59,5
4.44,5
4.16,3
4.1,3
4.41,4
4.33,4
3.7,2
3.42,1
4.3,4
4.3,4
4.13,3
3.63,1
3.06,0
2.65,0
1.91,0
1.8,0
2.06,0
2.27,0
2.22,0
2.1,0
2.38,0
2.41,0
2.6,0
2.72,0
2.75,0
2.89,0
2.77,0
2.69,0
2.72,0
2.89,0
2.96,0
3.28,1
2.92,0
3.2,0
3.38,1
3.48,1
3.51,1
3.77,2
4.38,4
4.65,6
5.01,8
5.19,9
5.37,10
5.7,13
6.02,16
6.1,16
5.85,14
5.68,13
5.63,12
5.53,12
5.58,12
5.53,12
5.57,12
5.52,11
5.5,11
5.52,11
5.49,11
5.46,11
5.57,12
5.5,11
5.41,11
5.31,10
5.28,10
5.22,9
5.22,9
5.41,11
5.82,14
6.33,19
6.53,21
6.44,20
6.31,18
6.54,21
6.67,22
6.95,25
7.26,29
7.26,29
7.26,29
7.19,28
7.4,31
7.65,34
8.32,43
8.08,40
8.02,39
8.12,40
8.02,39
7.92,37
8.18,41
8.1,40
8.05,39
8.04,39
8.1,40
8.19,41
8.72,49
8.82,51
9.09,56
9.27,59
9.22,58
9.21,58
9.25,58
9.4,61
9.33,60
9.6,64
9.55,64
9.36,60
9.84,69
9.77,68
9.71,67
9.93,71
10.25,72
10.39,72
9.99,72
10.45,72
10.64,72
10.51,72
9.84,69
9.56,64
9.51,63
9.49,63
8.78,50
8.1,40
8.16,41
8.66,48
9.63,65
10.3,72
10.46,72
10.3,72
9.86,69
9.46,62
8.78,50
8.42,45
8.01,39
7.78,36
7.88,37
7.67,34
7.18,28
7.08,27
7.15,28
7.19,28
7.22,28
7.21,28
7.11,27
7.04,26
6.91,25
6.89,25
6.87,24
7,26
6.77,23
6.75,23
7.08,27
6.91,25
6.69,22
6.6,21
6.82,24
6.33,19
6.91,25
6.91,25
7.43,31
7.78,36
7.73,35
7.93,38
7.94,38
8,39
8.12,40
8.19,41
8.7,49
8.44,45
8.44,45
8.3,43
8.16,41
7.98,38
7.8,36
7.77,35
7.58,33
7.52,32
7.47,31
7.47,31
7.48,32
7.54,32
7.47,31
7.59,33
7.35,30
7.14,27
7.14,27
